record_id,site_id,reading_date,emissions_co2e,scope
CE-20260818-001-677,SITE-001,2026-08-18,677.58,Scope 1+2
CE-20260818-002-615,SITE-002,2026-08-18,2453.21,Scope 1+2
CE-20260818-003-893,SITE-003,2026-08-18,3108.25,Scope 1+2
CE-20260818-004-338,SITE-004,2026-08-18,580.44,Scope 1+2
CE-20260818-005-472,SITE-005,2026-08-18,73.32,Scope 1+2
CE-20260818-006-332,SITE-006,2026-08-18,1614.84,Scope 1+2
CE-20260818-007-108,SITE-007,2026-08-18,2506.39,Scope 1+2
CE-20260818-008-592,SITE-008,2026-08-18,348.34,Scope 1+2
CE-20260818-009-712,SITE-009,2026-08-18,679.85,Scope 1+2
CE-20260818-010-783,SITE-010,2026-08-18,1121.64,Scope 1+2
CE-20260818-011-553,SITE-011,2026-08-18,1503.15,Scope 1+2
CE-20260818-012-726,SITE-012,2026-08-18,574.83,Scope 1+2
CE-20260818-013-827,SITE-013,2026-08-18,535.52,Scope 1+2
CE-20260818-014-678,SITE-014,2026-08-18,1387.58,Scope 1+2
CE-20260818-015-864,SITE-015,2026-08-18,748.31,Scope 1+2
CE-20260818-016-357,SITE-016,2026-08-18,6275.4,Scope 1+2
CE-20260818-017-388,SITE-017,2026-08-18,1620.36,Scope 1+2
CE-20260818-018-922,SITE-018,2026-08-18,7448.3,Scope 1+2
CE-20260818-019-459,SITE-019,2026-08-18,560.12,Scope 1+2
CE-20260818-020-537,SITE-020,2026-08-18,1864.77,Scope 1+2
CE-20260818-021-672,SITE-021,2026-08-18,837.85,Scope 1+2
CE-20260818-022-612,SITE-022,2026-08-18,1144.44,Scope 1+2
CE-20260818-023-687,SITE-023,2026-08-18,257.59,Scope 1+2
CE-20260818-024-412,SITE-024,2026-08-18,2874.63,Scope 1+2
