record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260816-001-723,SITE-001,2026-08-16,1040.32,356.93
EN-20260816-002-397,SITE-002,2026-08-16,6006.97,2080.68
EN-20260816-003-439,SITE-003,2026-08-16,14360.64,4959.91
EN-20260816-004-512,SITE-004,2026-08-16,5187.95,309.65
EN-20260816-005-158,SITE-005,2026-08-16,1188.68,72.11
EN-20260816-006-454,SITE-006,2026-08-16,8920.49,1848.02
EN-20260816-007-953,SITE-007,2026-08-16,13819.3,2889.54
EN-20260816-008-514,SITE-008,2026-08-16,1930.14,631.83
EN-20260816-009-182,SITE-009,2026-08-16,3168.89,606.05
EN-20260816-010-367,SITE-010,2026-08-16,1074.41,830.27
EN-20260816-011-507,SITE-011,2026-08-16,1804.85,676.35
EN-20260816-012-732,SITE-012,2026-08-16,1526.4,555.65
EN-20260816-013-488,SITE-013,2026-08-16,776.77,290.19
EN-20260816-014-364,SITE-014,2026-08-16,13328.91,1721.09
EN-20260816-015-218,SITE-015,2026-08-16,3148.68,1410.2
EN-20260816-016-811,SITE-016,2026-08-16,13609.21,9495.73
EN-20260816-017-326,SITE-017,2026-08-16,2519.1,1815.75
EN-20260816-018-991,SITE-018,2026-08-16,5855.42,4218.13
EN-20260816-019-202,SITE-019,2026-08-16,1346.43,556.98
EN-20260816-020-285,SITE-020,2026-08-16,1951.53,921.76
EN-20260816-021-601,SITE-021,2026-08-16,1225.43,823.6
EN-20260816-022-920,SITE-022,2026-08-16,8743.54,800.88
EN-20260816-023-400,SITE-023,2026-08-16,1358.9,426.97
EN-20260816-024-314,SITE-024,2026-08-16,12034.58,4093.58
