record_id,reading_date,energy_kwh,emissions_co2e
EN-20260825-001-937,2026-08-25,2371.75,794.14
EN-20260825-002-898,2026-08-25,5505.39,1845.76
EN-20260825-003-614,2026-08-25,11477.53,3863.26
EN-20260825-004-801,2026-08-25,8800.22,522.35
EN-20260825-005-925,2026-08-25,1271.18,75.45
EN-20260825-006-520,2026-08-25,10399.55,2209.58
EN-20260825-007-968,2026-08-25,12042.9,2566.43
EN-20260825-008-294,2026-08-25,932.89,309.52
EN-20260825-009-597,2026-08-25,3722.42,700.86
EN-20260825-010-155,2026-08-25,1406.62,1112.8
EN-20260825-011-852,2026-08-25,3097.96,1129
EN-20260825-012-185,2026-08-25,1289.14,482.53
EN-20260825-013-626,2026-08-25,1367.29,515.99
EN-20260825-014-757,2026-08-25,14414.09,1883.06
EN-20260825-015-885,2026-08-25,2092.57,904.06
EN-20260825-016-734,2026-08-25,8422.56,6085.02
EN-20260825-017-605,2026-08-25,1884.21,1321.52
EN-20260825-018-465,2026-08-25,11259.51,8072.76
EN-20260825-019-883,2026-08-25,1002.36,425.55
EN-20260825-020-877,2026-08-25,3539.54,1645.38
EN-20260825-021-519,2026-08-25,927.1,609.76
EN-20260825-022-130,2026-08-25,8851.14,803.05
EN-20260825-023-309,2026-08-25,1311.1,411.86
EN-20260825-024-375,2026-08-25,11332.18,3776.16
