record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260826-001-158,SITE-001,2026-08-26,1042.91,354.44
EN-20260826-002-633,SITE-002,2026-08-26,11154.99,3821.1
EN-20260826-003-449,SITE-003,2026-08-26,8028.69,2691.75
EN-20260826-004-617,SITE-004,2026-08-26,9040.44,538.56
EN-20260826-005-373,SITE-005,2026-08-26,1150.63,69.5
EN-20260826-006-934,SITE-006,2026-08-26,6809.09,1404.52
EN-20260826-007-435,SITE-007,2026-08-26,12048.69,2527.58
EN-20260826-008-970,SITE-008,2026-08-26,1347.95,436.1
EN-20260826-009-756,SITE-009,2026-08-26,2664.37,507.23
EN-20260826-010-355,SITE-010,2026-08-26,1225.24,946.85
EN-20260826-011-939,SITE-011,2026-08-26,2595.2,947.35
EN-20260826-012-753,SITE-012,2026-08-26,1086.8,398.68
EN-20260826-013-211,SITE-013,2026-08-26,717.02,267.56
EN-20260826-014-140,SITE-014,2026-08-26,8159.32,1044.3
EN-20260826-015-303,SITE-015,2026-08-26,3375.04,1510.44
EN-20260826-016-840,SITE-016,2026-08-26,13720.9,9813.24
EN-20260826-017-619,SITE-017,2026-08-26,1759.52,1259.37
EN-20260826-018-640,SITE-018,2026-08-26,5896.81,4200.02
EN-20260826-019-218,SITE-019,2026-08-26,1787.02,736.83
EN-20260826-020-350,SITE-020,2026-08-26,3222.97,1490.84
EN-20260826-021-635,SITE-021,2026-08-26,867.47,580.27
EN-20260826-022-411,SITE-022,2026-08-26,13634.93,1232.64
EN-20260826-023-395,SITE-023,2026-08-26,925.8,289.98
EN-20260826-024-649,SITE-024,2026-08-26,13688.82,4690.73
